iter	Passed	Remaining
208	3958	14983
209	3979	14971
210	3999	14954
211	4018	14935
212	4040	14928
213	4059	14908
214	4078	14891
215	4100	14883
216	4119	14864
217	4129	14813
218	4147	14790
219	4179	14819
220	4187	14760
221	4220	14791
222	4250	14809
223	4284	14844
224	4303	14823
225	4325	14814
226	4353	14824
227	4379	14830
228	4406	14834
229	4428	14827
230	4435	14767
231	4450	14733
232	4473	14726
233	4499	14729
234	4523	14725
235	4546	14717
236	4561	14685
237	4569	14630
238	4577	14574
239	4596	14555
240	4616	14539
241	4620	14472
242	4629	14422
243	4648	14402
244	4657	14353
245	4677	14336
246	4692	14304
247	4709	14280
248	4750	14326
249	4758	14275
250	4778	14260
251	4798	14242
252	4802	14179
253	4809	14124
254	4825	14098
255	4840	14067
256	4866	14070
257	4889	14062
258	4908	14044
259	4930	14033
260	4947	14007
261	4970	14001
262	4992	13989
263	5010	13968
264	5028	13947
265	5037	13899
266	5057	13884
267	5069	13846
268	5081	13807
269	5102	13795
270	5121	13778
271	5144	13768
272	5164	13753
273	5176	13715
274	5195	13697
275	5215	13682
276	5235	13665
277	5256	13651
278	5279	13643
279	5299	13627
280	5318	13607
281	5345	13609
282	5371	13608
283	5413	13646
284	5418	13594
285	5441	13584
286	5489	13636
287	5531	13675
288	5565	13691
289	5608	13730
290	5630	13718
291	5656	13714
292	5670	13682
293	5722	13741
294	5754	13751
295	5781	13750
296	5810	13753
297	5822	13716
298	5849	13714
299	5879	13719
300	5910	13725
301	5922	13689
302	5951	13691
303	5981	13695
304	6008	13691
305	6026	13667
306	6051	13661
307	6078	13656
308	6103	13648
309	6146	13680
310	6172	13674
311	6198	13667
312	6212	13635
313	6238	13629
314	6268	13630
315	6330	13703
316	6382	13751
317	6419	13766
318	6444	13757
319	6469	13748
320	6480	13708
321	6507	13701
322	6531	13690
323	6590	13749
324	6603	13715
325	6638	13725
326	6667	13722
327	6688	13703
328	6710	13686
329	6736	13678
330	6760	13664
331	6784	13651
332	6810	13641
333	6828	13616
334	6832	13562
335	6849	13536
336	6867	13511
337	6890	13495
338	6906	13467
339	6932	13456
340	6954	13440
341	6977	13425
342	7000	13409
343	7022	13392
344	7042	13370
345	7055	13336
346	7076	13316
347	7096	13295
348	7122	13285
349	7142	13264
350	7148	13218
351	7166	13193
352	7190	13179
353	7195	13131
354	7211	13101
355	7232	13083
356	7253	13063
357	7273	13042
358	7291	13018
359	7302	12983
360	7320	12958
361	7334	12925
362	7352	12901
363	7361	12861
364	7380	12840
365	7399	12817
366	7422	12802
367	7446	12788
368	7468	12771
369	7477	12731
370	7502	12719
371	7506	12671
372	7524	12647
373	7540	12622
374	7555	12591
375	7573	12567
376	7580	12527
377	7601	12507
378	7613	12475
379	7631	12452
380	7651	12430
381	7669	12407
382	7679	12372
383	7692	12340
384	7718	12330
385	7751	12329
386	7782	12327
387	7809	12317
388	7836	12308
389	7855	12286
390	7875	12267
391	7905	12261
392	7931	12250
393	7947	12224
394	7965	12199
395	7991	12189
396	8010	12167
397	8020	12131
398	8043	12115
399	8071	12107
400	8081	12072
401	8108	12062
402	8134	12050
403	8156	12032
404	8176	12011
405	8194	11989
406	8214	11968
407	8232	11945
408	8258	11932
409	8271	11903
410	8301	11897
411	8313	11864
412	8342	11857
413	8375	11855
414	8402	11844
415	8427	11830
416	8446	11808
417	8457	11775
418	8474	11750
419	8489	11723
420	8506	11699
421	8526	11679
422	8529	11635
423	8545	11608
424	8550	11568
425	8562	11537
426	8579	11512
427	8593	11485
428	8606	11455
429	8624	11432
430	8638	11404
431	8652	11376
432	8666	11348
433	8681	11321
434	8695	11294
435	8712	11270
436	8727	11244
437	8741	11216
438	8756	11189
439	8775	11168
440	8797	11151
441	8814	11128
442	8840	11115
443	8865	11102
444	8890	11087
445	8894	11047
446	8930	11048
447	8956	11036
448	8983	11024
449	9006	11008
450	9010	10968
451	9030	10947
452	9041	10918
453	9048	10882
454	9068	10861
455	9093	10848
456	9117	10833
457	9144	10821
458	9166	10804
459	9182	10779
460	9198	10754
461	9206	10720
462	9232	10707
463	9253	10689
464	9276	10673
465	9293	10649
466	9313	10629
467	9331	10607
468	9348	10584
469	9365	10561
470	9384	10539
471	9400	10515
472	9419	10494
473	9437	10472
474	9450	10444
475	9459	10413
476	9477	10391
477	9495	10369
478	9512	10346
479	9532	10326
480	9550	10305
481	9557	10271
482	9575	10249
483	9592	10227
484	9609	10204
485	9628	10182
486	9645	10160
487	9654	10129
488	9666	10101
489	9684	10080
490	9695	10050
491	9703	10018
492	9723	9999
493	9742	9979
494	9760	9957
495	9777	9935
496	9793	9911
497	9807	9886
498	9816	9855
499	9835	9835
500	9856	9816
501	9864	9785
502	9885	9767
503	9895	9738
504	9912	9716
505	9919	9684
506	9930	9656
507	9948	9635
508	9960	9607
509	9980	9589
510	10002	9571
511	10020	9550
512	10038	9529
513	10064	9516
514	10089	9501
515	10122	9494
516	10155	9487
517	10183	9475
518	10209	9462
519	10245	9456
520	10274	9446
521	10310	9441
522	10337	9428
523	10354	9406
524	10377	9389
525	10390	9363
526	10405	9339
527	10423	9318
528	10447	9302
529	10469	9284
530	10490	9265
531	10508	9244
532	10529	9225
533	10551	9208
534	10572	9189
535	10591	9168
536	10608	9146
537	10626	9125
538	10632	9094
539	10645	9068
540	10653	9038
541	10671	9017
542	10688	8995
543	10711	8978
544	10731	8959
545	10746	8935
546	10768	8917
547	10788	8898
548	10809	8880
549	10829	8860
550	10853	8844
551	10883	8833
552	10936	8840
553	11001	8856
554	11029	8843
555	11054	8827
556	11080	8812
557	11092	8786
558	11118	8771
559	11132	8747
560	11155	8729
561	11174	8709
562	11195	8689
563	11213	8668
564	11238	8652
565	11273	8644
566	11288	8620
567	11316	8606
568	11344	8593
569	11368	8576
570	11390	8557
571	11415	8541
572	11437	8523
573	11462	8507
574	11490	8492
575	11510	8472
576	11526	8450
577	11546	8430
578	11565	8409
579	11573	8380
580	11585	8355
581	11623	8348
582	11645	8329
583	11664	8308
584	11689	8292
585	11715	8277
586	11738	8258
587	11763	8242
588	11786	8224
589	11808	8206
590	11829	8186
591	11854	8169
592	11861	8141
593	11880	8120
594	11895	8096
595	11908	8072
596	11928	8052
597	11936	8024
598	11960	8006
599	11979	7986
600	12010	7973
601	12021	7947
602	12044	7929
603	12061	7907
604	12077	7885
605	12095	7864
606	12107	7839
607	12127	7819
608	12146	7798
609	12154	7770
610	12164	7744
611	12195	7731
612	12229	7720
613	12258	7706
614	12286	7691
615	12300	7668
616	12315	7645
617	12343	7629
618	12371	7614
619	12394	7596
620	12452	7600
621	12495	7593
622	12532	7583
623	12548	7561
624	12578	7547
625	12599	7527
626	12623	7509
627	12652	7494
628	12666	7471
629	12699	7458
630	12709	7432
631	12726	7410
632	12746	7390
633	12767	7370
634	12784	7348
635	12791	7320
636	12808	7299
637	12829	7279
638	12847	7258
639	12866	7237
640	12884	7215
641	12902	7194
642	12917	7172
643	12941	7153
644	12961	7133
645	12979	7112
646	12996	7090
647	13016	7070
648	13041	7053
649	13066	7035
650	13085	7015
651	13105	6995
652	13124	6974
653	13132	6947
654	13151	6927
655	13171	6907
656	13189	6885
657	13206	6863
658	13224	6842
659	13243	6822
660	13261	6801
661	13280	6780
662	13297	6758
663	13314	6737
664	13333	6716
665	13351	6695
666	13363	6671
667	13367	6643
668	13383	6621
669	13398	6599
670	13416	6578
671	13433	6556
672	13451	6535
673	13464	6512
674	13472	6486
675	13486	6463
676	13503	6442
677	13517	6419
678	13536	6399
679	13554	6378
680	13590	6366
681	13612	6346
682	13625	6324
683	13655	6308
684	13678	6290
685	13685	6264
686	13703	6243
687	13725	6224
688	13745	6204
689	13781	6191
690	13812	6176
691	13832	6156
692	13837	6130
693	13859	6111
694	13883	6092
695	13906	6073
696	13934	6057
697	13963	6041
698	13988	6023
699	14008	6003
700	14019	5979
701	14038	5959
702	14059	5939
703	14079	5919
704	14097	5899
705	14110	5875
706	14129	5855
707	14147	5834
708	14165	5814
709	14179	5791
710	14200	5772
711	14221	5752
712	14241	5732
713	14246	5706
714	14271	5688
715	14295	5670
716	14317	5651
717	14338	5631
718	14360	5612
719	14383	5593
720	14404	5574
721	14426	5554
722	14446	5534
723	14470	5516
724	14491	5496
725	14511	5476
726	14530	5456
727	14550	5436
728	14571	5416
729	14590	5396
730	14611	5377
731	14635	5358
732	14656	5338
733	14680	5320
734	14702	5300
735	14739	5287
736	14770	5270
737	14807	5256
738	14821	5234
739	14849	5217
740	14872	5198
741	14897	5179
742	14917	5159
743	14939	5140
744	14948	5116
745	14979	5100
746	14989	5076
747	15012	5057
748	15019	5033
749	15041	5013
750	15069	4996
751	15092	4977
752	15116	4958
753	15139	4939
754	15158	4919
755	15176	4898
756	15197	4878
757	15215	4857
758	15227	4834
759	15245	4814
760	15269	4795
761	15276	4771
762	15291	4749
763	15305	4727
764	15311	4703
765	15336	4685
766	15365	4667
767	15391	4649
768	15401	4626
769	15425	4607
770	15449	4588
771	15469	4568
772	15490	4548
773	15509	4528
774	15528	4508
775	15552	4489
776	15587	4473
777	15604	4452
778	15630	4434
779	15640	4411
780	15673	4395
781	15704	4378
782	15736	4361
783	15766	4343
784	15798	4326
785	15823	4308
786	15849	4289
787	15871	4269
788	15905	4253
789	15928	4234
790	15967	4218
791	16003	4202
792	16025	4183
793	16052	4164
794	16085	4147
795	16116	4130
796	16140	4111
797	16168	4092
798	16180	4070
799	16197	4049
800	16222	4030
801	16244	4010
802	16268	3991
803	16293	3972
804	16315	3952
805	16338	3932
806	16356	3911
807	16378	3891
808	16387	3868
809	16428	3853
810	16437	3830
811	16442	3806
812	16452	3784
813	16461	3761
814	16480	3741
815	16502	3721
816	16523	3701
817	16543	3680
818	16563	3660
819	16588	3641
820	16614	3622
821	16637	3602
822	16661	3583
823	16684	3563
824	16699	3542
825	16720	3522
826	16741	3502
827	16762	3482
828	16786	3462
829	16796	3440
830	16802	3417
831	16821	3396
832	16842	3376
833	16861	3356
834	16879	3335
835	16898	3315
836	16917	3294
837	16924	3271
838	16942	3251
839	16957	3229
840	16975	3209
841	16999	3189
842	17025	3170
843	17050	3151
844	17078	3132
845	17119	3116
846	17149	3097
847	17191	3081
848	17241	3066
849	17294	3052
850	17336	3035
851	17361	3015
852	17378	2994
853	17403	2975
854	17433	2956
855	17465	2938
856	17498	2919
857	17528	2901
858	17558	2882
859	17588	2863
860	17619	2844
861	17650	2825
862	17681	2806
863	17709	2787
864	17733	2767
865	17759	2747
866	17770	2726
867	17801	2707
868	17828	2687
869	17859	2668
870	17888	2649
871	17916	2629
872	17927	2607
873	17957	2588
874	17989	2569
875	18019	2550
876	18048	2531
877	18079	2512
878	18105	2492
879	18129	2472
880	18139	2450
881	18169	2430
882	18199	2411
883	18227	2391
884	18255	2372
885	18324	2357
886	18371	2340
887	18402	2321
888	18442	2302
889	18476	2283
890	18525	2266
891	18553	2246
892	18585	2226
893	18624	2208
894	18674	2190
895	18716	2172
896	18749	2152
897	18771	2132
898	18793	2111
899	18814	2090
900	18834	2069
901	18856	2048
902	18875	2027
903	18898	2006
904	18920	1986
905	18940	1965
906	18959	1944
907	18965	1921
908	18986	1900
909	19010	1880
910	19035	1859
911	19060	1839
912	19090	1819
913	19116	1798
914	19140	1778
915	19165	1757
916	19189	1736
917	19212	1716
918	19232	1695
919	19248	1673
920	19267	1652
921	19286	1631
922	19313	1611
923	19337	1590
924	19359	1569
925	19367	1547
926	19389	1526
927	19409	1505
928	19428	1484
929	19465	1465
930	19473	1443
931	19512	1423
932	19545	1403
933	19567	1382
934	19585	1361
935	19616	1341
936	19640	1320
937	19667	1299
938	19698	1279
939	19713	1258
940	19728	1236
941	19753	1216
942	19773	1195
943	19781	1173
944	19803	1152
945	19822	1131
946	19841	1110
947	19848	1088
948	19864	1067
949	19881	1046
950	19903	1025
951	19921	1004
952	19939	983
953	19957	962
954	19975	941
955	19993	920
956	20013	899
957	20031	878
958	20050	857
959	20068	836
960	20087	815
961	20105	794
962	20128	773
963	20150	752
964	20172	731
965	20182	710
966	20201	689
967	20215	668
968	20236	647
969	20255	626
970	20274	605
971	20292	584
972	20311	563
973	20331	542
974	20350	521
975	20368	500
976	20388	479
977	20405	459
978	20422	438
979	20443	417
980	20462	396
981	20472	375
982	20489	354
983	20507	333
984	20518	312
985	20538	291
986	20556	270
987	20576	249
988	20599	229
989	20640	208
990	20670	187
991	20696	166
992	20726	146
993	20748	125
994	20771	104
995	20794	83
996	20816	62
997	20844	41
998	20868	20
999	20884	0
