iter	Logloss
0	0.6885835184
1	0.683972447
2	0.6790248379
3	0.6741254301
4	0.6697400446
5	0.6643795173
6	0.6603543126
7	0.6561984549
8	0.6518918316
9	0.6470923403
10	0.6424768858
11	0.638178822
12	0.6335301546
13	0.6294014625
14	0.6252137011
15	0.6212616865
16	0.6165688252
17	0.6124483644
18	0.6091619234
19	0.6049530011
20	0.6012395925
21	0.5974326796
22	0.5941727246
23	0.5911321602
24	0.5874720852
25	0.5844162361
26	0.5814923035
27	0.5785055591
28	0.5757039035
29	0.5725790578
30	0.5697943004
31	0.5666123323
32	0.5637783883
33	0.5607491391
34	0.5591852116
35	0.5570011844
36	0.5539566141
37	0.5520194298
38	0.5496177707
39	0.5466024027
40	0.5445431671
41	0.5419667476
42	0.5389838913
43	0.5369597456
44	0.5341665672
45	0.5326464166
46	0.5302085477
47	0.5277475412
48	0.525089891
49	0.5231590204
50	0.5215416574
51	0.5204011903
52	0.517844385
53	0.5153540817
54	0.5131430281
55	0.5113040445
56	0.5093933193
57	0.5079117082
58	0.5061200486
59	0.5042371777
60	0.5026140873
61	0.5017383897
62	0.4998078171
63	0.4976901973
64	0.4960551929
65	0.4945420238
66	0.4937529709
67	0.4920954842
68	0.490260551
69	0.4889343051
70	0.4871020084
71	0.4860572421
72	0.4847562595
73	0.4840740999
74	0.4826221508
75	0.4808550506
76	0.4791727396
77	0.4781212829
78	0.47750711
79	0.4761653464
80	0.4749505331
81	0.4731619894
82	0.4719318761
83	0.4706350372
84	0.4693937156
85	0.4682674843
86	0.4667169609
87	0.4655323222
88	0.4640333921
89	0.4625931066
90	0.461914849
91	0.4605613874
92	0.4597577813
93	0.4593099536
94	0.458250022
95	0.4572618976
96	0.4560336833
97	0.4546869323
98	0.4543976936
99	0.4531746247
100	0.4519054795
101	0.450709715
102	0.4493977429
103	0.4482412342
104	0.4469850769
105	0.4465052338
106	0.4452329097
107	0.444568237
108	0.4435527273
109	0.4430782647
110	0.4423740007
111	0.4416054328
112	0.4407781357
113	0.4398776752
114	0.4391823639
115	0.4381481394
116	0.4371269145
117	0.4362319677
118	0.4359813815
119	0.4350525352
120	0.4340477251
121	0.4332289928
122	0.4327535383
123	0.4319093886
124	0.431012106
125	0.4302709416
126	0.4294022888
127	0.4286970844
128	0.4277566104
129	0.4268571897
130	0.4260685535
131	0.425254755
132	0.42469042
133	0.4243120945
134	0.4233583034
135	0.4231619756
136	0.4228523553
137	0.4219788295
138	0.4210167346
139	0.4201971801
140	0.4197874193
141	0.4191823389
142	0.4187727493
143	0.4179100392
144	0.4174750057
145	0.4169804716
146	0.4164325535
147	0.4161573805
148	0.4154696281
149	0.4151389247
150	0.4144858642
151	0.4140899935
152	0.4138698828
153	0.4131348507
154	0.4125970149
155	0.4123268632
156	0.4117386747
157	0.4112114037
158	0.4105573297
159	0.4105272889
160	0.4100675402
161	0.4099437257
162	0.4094688432
163	0.4090836986
164	0.408946626
165	0.4084719227
166	0.4079409891
167	0.4074455643
168	0.4069299934
169	0.4065485237
170	0.40641538
171	0.4061612161
172	0.4058017198
173	0.4054607948
174	0.4051295717
175	0.4048940055
176	0.4047655988
177	0.4045333093
178	0.4039749807
179	0.4037627121
180	0.4032860008
181	0.403134301
182	0.4025613205
183	0.4018739656
184	0.4018076894
185	0.4015270201
186	0.4013008797
187	0.4011168209
188	0.4007483083
189	0.4000621895
190	0.3995796405
191	0.3991411871
192	0.3988899225
193	0.3987704663
194	0.3986005579
195	0.3984526616
196	0.3980057749
197	0.3979324948
198	0.3977652816
199	0.3973519392
200	0.3969228495
201	0.3965096946
202	0.3964235895
203	0.3960350615
204	0.3955632768
205	0.3952403628
206	0.3948763043
207	0.3943881925
208	0.3943370465
209	0.3937349433
210	0.393359491
211	0.3932229327
212	0.392769144
213	0.392561771
214	0.3922849002
215	0.3920628572
216	0.3918999454
217	0.3918458052
218	0.391333279
219	0.3910452582
220	0.3910356775
221	0.3905545447
222	0.3901660417
223	0.3900739619
224	0.3897643848
225	0.3890055591
226	0.3885530682
227	0.3883298289
228	0.3879727178
229	0.3876089495
230	0.3875624555
231	0.3872153476
232	0.386858282
233	0.386376882
234	0.3859990136
235	0.3855077459
236	0.3853839829
237	0.3853161793
238	0.3852806139
239	0.3850671492
240	0.3847246901
241	0.384718219
242	0.3846448967
243	0.3842377107
244	0.3841640091
245	0.383964781
246	0.3836317103
